timestamp,open,high,low,close,volume,oi
2026-03-11T00:00:00,39.54,39.54,39.54,39.54,4286,
2026-03-12T00:00:00,39.54,39.54,39.3,39.3,7,
2026-03-13T00:00:00,38.52,38.52,38.52,38.52,3437,
2026-03-16T00:00:00,38.52,38.52,38.52,38.52,1000,
2026-03-17T00:00:00,38.52,38.52,36.6,36.6,2340,
2026-03-18T00:00:00,37.33,37.33,34.77,35.0,5219,
2026-03-19T00:00:00,35.0,35.0,33.25,34.23,3818,
2026-03-20T00:00:00,35.9,35.94,35.9,35.94,3147,
2026-03-23T00:00:00,34.15,35.94,34.15,35.94,4773,
2026-03-24T00:00:00,34.15,37.72,34.15,37.4,5221,
2026-03-25T00:00:00,39.27,39.27,39.27,39.27,4333,
2026-03-27T00:00:00,,41.23,37.5,41.23,3101,
2026-03-30T00:00:00,41.23,41.23,37.34,41.23,5383,
2026-04-01T00:00:00,43.29,43.29,41.23,43.29,1087,
2026-04-02T00:00:00,44.0,45.44,44.0,45.0,9845,
2026-04-06T00:00:00,46.35,46.35,46.35,46.35,5,
2026-04-07T00:00:00,,48.66,48.66,48.66,4747,
2026-04-08T00:00:00,51.09,51.09,51.09,51.09,3954,
2026-04-09T00:00:00,53.64,53.64,51.09,51.09,3127,
2026-04-10T00:00:00,56.16,56.16,56.16,56.16,2565,
2026-04-13T00:00:00,58.96,58.96,53.43,55.0,6860,
2026-04-15T00:00:00,,58.54,58.44,58.54,8565,
2026-04-16T00:00:00,60.26,61.46,60.0,61.46,2350,
2026-04-17T00:00:00,64.53,64.53,64.0,64.53,9231,
2026-04-20T00:00:00,,67.75,61.57,67.7,10746,
2026-04-21T00:00:00,,71.08,64.32,68.0,4798,
2026-04-22T00:00:00,,68.44,63.0,68.44,5255,
2026-04-23T00:00:00,,68.96,63.0,63.0,9793,
2026-04-24T00:00:00,66.14,66.14,59.9,60.5,1359,
2026-04-27T00:00:00,60.38,61.3,57.37,59.0,3428,
2026-04-28T00:00:00,56.1,59.5,56.05,59.0,1844,
2026-04-29T00:00:00,56.05,59.99,56.05,56.05,2688,
2026-04-30T00:00:00,53.3,56.18,53.25,53.25,2988,
2026-05-04T00:00:00,50.59,50.59,50.59,50.59,12907,
2026-05-05T00:00:00,48.2,48.2,48.07,48.07,837,
2026-05-06T00:00:00,45.67,50.45,45.67,50.45,2090,
2026-05-07T00:00:00,,52.97,47.93,50.5,8944,
2026-05-08T00:00:00,49.01,53.99,49.0,50.9,19272,
2026-05-11T00:00:00,50.0,50.0,47.93,47.93,4438,
2026-05-12T00:00:00,50.28,50.33,50.28,50.32,1992,
2026-05-13T00:00:00,52.83,52.83,52.83,52.83,4386,
2026-05-15T00:00:00,55.47,55.47,55.47,55.47,24,
2026-05-18T00:00:00,55.47,55.47,52.7,52.7,1510,
2026-05-19T00:00:00,54.0,54.0,54.0,54.0,45,
2026-05-20T00:00:00,56.7,56.7,51.6,51.6,351,
2026-05-21T00:00:00,,54.47,52.63,54.47,619,
2026-05-22T00:00:00,53.1,57.19,53.1,57.19,3436,
2026-05-25T00:00:00,60.04,60.04,60.04,60.04,2962,
2026-05-26T00:00:00,63.04,63.04,63.03,63.03,448,
2026-05-27T00:00:00,63.03,63.25,63.03,63.25,681,
2026-05-29T00:00:00,64.5,64.5,64.0,64.0,560,
2026-06-01T00:00:00,64.0,64.0,64.0,64.0,6,
2026-06-02T00:00:00,63.0,63.0,63.0,63.0,1,
2026-06-03T00:00:00,61.74,61.74,61.74,61.74,42,
2026-06-04T00:00:00,62.0,62.0,61.5,61.5,227,
2026-06-05T00:00:00,61.2,61.2,60.27,60.27,37,
2026-06-09T00:00:00,60.27,60.27,60.27,60.27,414,
2026-06-11T00:00:00,60.27,60.27,60.27,60.27,67,
2026-06-12T00:00:00,60.0,60.3,60.0,60.3,50,
2026-06-17T00:00:00,59.1,59.1,59.1,59.1,35,
2026-06-18T00:00:00,57.92,57.92,57.92,57.92,275,
2026-06-19T00:00:00,57.9,57.9,57.5,57.5,393,
2026-06-22T00:00:00,56.35,56.35,56.35,56.35,400,
2026-06-23T00:00:00,55.4,55.4,55.23,55.23,404,
2026-06-24T00:00:00,54.14,54.14,54.13,54.13,10,
2026-06-25T00:00:00,54.1,54.12,54.1,54.12,15,
2026-07-01T00:00:00,53.8,53.8,53.8,53.8,1,
2026-07-02T00:00:00,52.73,53.0,52.73,52.73,325,
2026-07-03T00:00:00,51.68,51.68,51.68,51.68,27655,
2026-07-06T00:00:00,49.1,49.1,49.1,49.1,125,
2026-07-07T00:00:00,46.65,46.65,46.65,46.65,363,
2026-07-08T00:00:00,46.65,46.65,46.0,46.0,180,
2026-07-09T00:00:00,46.0,46.0,43.7,43.7,1299,
2026-07-10T00:00:00,43.7,43.7,41.52,41.52,2882,
2026-07-13T00:00:00,43.59,43.59,39.45,42.9,3440,
2026-07-14T00:00:00,,45.04,43.0,45.04,367,
2026-07-15T00:00:00,47.29,47.29,47.25,47.25,151,
2026-07-16T00:00:00,49.61,49.61,44.89,47.9,53,
2026-07-17T00:00:00,,50.29,45.51,48.89,123,
2026-07-20T00:00:00,51.33,51.33,46.45,46.45,765,
2026-07-21T00:00:00,45.53,45.53,45.53,45.53,86,
2026-07-22T00:00:00,45.53,45.53,45.53,45.53,252,
2026-07-23T00:00:00,45.5,45.5,45.5,45.5,1,
2026-07-27T00:00:00,45.5,45.5,45.5,45.5,178,
2026-07-28T00:00:00,45.5,45.5,45.5,45.5,1,
2026-07-30T00:00:00,44.59,44.59,44.59,44.59,458,
2026-07-31T00:00:00,44.59,44.59,44.59,44.59,1,
2026-08-03T00:00:00,44.59,44.6,43.7,43.7,1549,
2026-08-04T00:00:00,43.7,44.57,43.7,44.57,10093,
2026-08-05T00:00:00,44.35,44.35,44.35,44.35,1,
2026-08-06T00:00:00,44.35,44.4,44.35,44.4,709,
2026-08-07T00:00:00,44.4,44.4,44.0,44.0,1440,
2026-08-11T00:00:00,44.88,44.88,44.88,44.88,850,
2026-08-12T00:00:00,43.99,43.99,43.99,43.99,201,
2026-08-13T00:00:00,43.12,43.12,43.12,43.12,6119,
2026-08-17T00:00:00,43.12,43.98,43.12,43.98,1656,
2026-08-18T00:00:00,43.5,43.98,43.5,43.98,501,
2026-08-19T00:00:00,43.5,43.5,43.5,43.5,383,
2026-08-20T00:00:00,43.2,43.2,42.63,42.63,3741,
2026-08-21T00:00:00,43.47,43.47,43.0,43.0,560,
2026-08-24T00:00:00,43.0,43.0,43.0,43.0,2000,
2026-08-25T00:00:00,43.77,43.85,43.77,43.85,3100,
2026-08-26T00:00:00,43.0,43.0,43.0,43.0,1252,
2026-08-28T00:00:00,43.0,43.0,42.14,42.14,5970,
2026-08-31T00:00:00,42.0,42.0,42.0,42.0,6000,
2026-09-01T00:00:00,42.0,44.07,41.8,41.8,4401,
2026-09-02T00:00:00,41.5,43.87,41.5,41.5,4321,
2026-09-03T00:00:00,41.5,41.5,41.5,41.5,30,
2026-09-04T00:00:00,43.57,43.57,42.0,42.0,2242,
