timestamp,open,high,low,close,volume,oi
2026-04-17T00:00:00,1.28,1.28,1.28,1.28,1,
2026-04-20T00:00:00,1.34,1.34,1.34,1.34,1,
2026-04-21T00:00:00,1.4,1.4,1.4,1.4,1,
2026-05-04T00:00:00,1.47,1.47,1.47,1.47,1,
2026-05-07T00:00:00,1.54,1.54,1.54,1.54,1001,
2026-05-08T00:00:00,1.61,1.61,1.61,1.61,7120,
2026-05-11T00:00:00,1.69,1.69,1.69,1.69,500,
2026-05-12T00:00:00,1.77,1.77,1.77,1.77,5,
2026-05-13T00:00:00,1.85,1.85,1.85,1.85,1,
2026-05-14T00:00:00,1.94,1.94,1.94,1.94,5,
2026-05-15T00:00:00,2.03,2.03,2.03,2.03,5,
2026-05-18T00:00:00,2.13,2.13,2.13,2.13,1900,
2026-05-19T00:00:00,2.23,2.23,2.23,2.23,1900,
2026-05-20T00:00:00,2.34,2.34,2.34,2.34,1750,
2026-05-21T00:00:00,2.45,2.45,2.45,2.45,2040,
2026-05-22T00:00:00,2.57,2.57,2.57,2.57,1690,
2026-05-26T00:00:00,2.69,2.69,2.69,2.69,1760,
2026-05-27T00:00:00,2.82,2.82,2.82,2.82,850,
2026-05-29T00:00:00,2.96,2.96,2.96,2.96,838,
2026-06-01T00:00:00,3.1,3.1,3.1,3.1,64,
2026-06-02T00:00:00,3.25,3.25,3.25,3.25,48,
2026-06-03T00:00:00,3.41,3.41,3.41,3.41,36,
2026-06-04T00:00:00,3.58,3.58,3.58,3.58,43,
2026-06-05T00:00:00,3.75,3.75,3.75,3.75,2,
2026-06-08T00:00:00,3.93,3.93,3.93,3.93,2,
2026-06-09T00:00:00,4.12,4.12,4.12,4.12,1,
2026-06-10T00:00:00,4.32,4.32,4.32,4.32,4102,
2026-06-11T00:00:00,4.53,4.53,4.53,4.53,1,
2026-06-12T00:00:00,4.75,4.75,4.75,4.75,1,
2026-06-15T00:00:00,4.98,4.98,4.98,4.98,1,
2026-06-16T00:00:00,5.22,5.22,5.22,5.22,1,
2026-06-17T00:00:00,5.48,5.48,5.48,5.48,2,
2026-06-18T00:00:00,5.75,5.75,5.75,5.75,1,
2026-06-19T00:00:00,6.03,6.03,6.03,6.03,1,
2026-06-22T00:00:00,6.33,6.33,6.33,6.33,1,
2026-06-23T00:00:00,6.64,6.64,6.64,6.64,1,
2026-06-24T00:00:00,6.97,6.97,6.97,6.97,1,
2026-06-25T00:00:00,7.31,7.31,7.31,7.31,1,
2026-06-29T00:00:00,7.67,7.67,7.67,7.67,1,
2026-06-30T00:00:00,8.05,8.05,8.05,8.05,1,
2026-07-03T00:00:00,8.45,8.45,8.45,8.45,1,
2026-07-07T00:00:00,8.87,8.87,8.87,8.87,1,
2026-07-08T00:00:00,9.31,9.31,9.31,9.31,1,
2026-07-10T00:00:00,9.77,9.77,9.77,9.77,3630,
2026-07-17T00:00:00,10.25,10.25,10.25,10.25,1,
2026-07-20T00:00:00,10.76,10.76,10.76,10.76,1,
2026-07-21T00:00:00,11.29,11.29,11.29,11.29,1,
2026-08-10T00:00:00,11.51,11.51,11.51,11.51,1,
2026-08-11T00:00:00,11.74,11.74,11.74,11.74,1,
2026-08-13T00:00:00,11.97,11.97,11.97,11.97,1,
2026-08-14T00:00:00,12.2,12.2,12.2,12.2,1,
2026-08-17T00:00:00,12.44,12.44,12.44,12.44,1,
2026-08-18T00:00:00,12.68,12.68,12.68,12.68,1,
2026-08-19T00:00:00,12.93,12.93,12.93,12.93,1,
2026-08-20T00:00:00,13.18,13.18,13.18,13.18,1,
2026-08-21T00:00:00,13.44,13.44,13.44,13.44,1,
2026-08-24T00:00:00,13.7,13.7,13.7,13.7,1,
2026-08-25T00:00:00,13.97,13.97,13.97,13.97,1,
2026-08-26T00:00:00,14.24,14.24,14.24,14.24,1,
2026-08-27T00:00:00,14.52,14.52,14.52,14.52,1,
2026-08-28T00:00:00,14.81,14.81,14.81,14.81,1,
2026-08-31T00:00:00,15.1,15.1,15.1,15.1,1,
2026-09-01T00:00:00,15.4,15.4,15.4,15.4,1,
2026-09-02T00:00:00,15.7,15.7,15.7,15.7,4,
2026-09-03T00:00:00,16.01,16.01,16.01,16.01,1,
2026-09-04T00:00:00,16.33,16.33,16.33,16.33,10,
2025-05-08T00:00:00,,,,,0,
