timestamp,open,high,low,close,volume,oi
2026-03-11T00:00:00,,34.87,30.0,30.92,13039,
2026-03-12T00:00:00,,31.7,30.7,31.55,4454,
2026-03-13T00:00:00,32.15,32.42,30.07,30.9,3898,
2026-03-16T00:00:00,,30.52,28.27,28.61,10566,
2026-03-17T00:00:00,,31.91,28.05,28.4,7678,
2026-03-18T00:00:00,,30.2,28.41,29.4,6632,
2026-03-19T00:00:00,29.1,29.1,28.39,28.5,6301,
2026-03-20T00:00:00,28.5,28.9,28.1,28.1,4167,
2026-03-23T00:00:00,,28.2,27.0,27.28,39756,
2026-03-24T00:00:00,,27.9,27.0,27.35,37685,
2026-03-25T00:00:00,,28.43,27.05,27.05,27382,
2026-03-27T00:00:00,,27.55,25.37,25.37,53781,
2026-03-30T00:00:00,,25.5,23.52,23.8,25343,
2026-04-01T00:00:00,,25.95,24.08,25.95,3836,
2026-04-02T00:00:00,,27.52,24.97,27.16,6487,
2026-04-06T00:00:00,,28.88,27.3,28.88,9795,
2026-04-07T00:00:00,,32.86,28.7,29.66,10615,
2026-04-08T00:00:00,,31.64,30.56,30.9,10256,
2026-04-09T00:00:00,,33.4,30.7,32.83,25263,
2026-04-10T00:00:00,,33.67,32.81,33.25,17689,
2026-04-13T00:00:00,,32.95,31.56,32.51,7835,
2026-04-15T00:00:00,,34.92,33.05,34.35,15027,
2026-04-16T00:00:00,,35.0,33.25,33.25,4169,
2026-04-17T00:00:00,,34.0,33.4,33.59,7252,
2026-04-20T00:00:00,,34.15,32.37,33.77,8553,
2026-04-21T00:00:00,,34.09,33.15,33.15,1862,
2026-04-22T00:00:00,33.15,33.56,32.88,33.0,826,
2026-04-23T00:00:00,,34.95,32.74,32.8,1346,
2026-04-24T00:00:00,,32.86,31.8,32.17,2411,
2026-04-27T00:00:00,,33.03,30.25,32.36,655,
2026-04-28T00:00:00,33.05,33.38,32.85,33.15,413,
2026-04-29T00:00:00,34.0,34.04,33.05,33.53,6366,
2026-04-30T00:00:00,,33.72,32.66,33.0,2423,
2026-05-04T00:00:00,,34.05,33.0,33.0,5727,
2026-05-05T00:00:00,,33.5,31.13,33.12,1406,
2026-05-06T00:00:00,33.83,34.34,33.44,34.34,1700,
2026-05-07T00:00:00,34.34,35.55,34.32,35.55,9311,
2026-05-08T00:00:00,,35.77,34.38,35.52,7844,
2026-05-11T00:00:00,,35.52,34.15,34.98,5164,
2026-05-12T00:00:00,,34.9,33.6,33.87,1831,
2026-05-13T00:00:00,,33.8,32.51,33.45,821,
2026-05-14T00:00:00,,34.1,32.31,33.5,1296,
2026-05-15T00:00:00,,34.0,32.38,33.0,4120,
2026-05-18T00:00:00,,35.45,32.84,33.3,2032,
2026-05-19T00:00:00,,33.8,32.51,33.17,2186,
