timestamp,open,high,low,close,volume,oi
2026-03-11T00:00:00,32.1,32.1,30.61,31.85,66684,
2026-03-12T00:00:00,31.26,31.85,31.0,31.0,2406,
2026-03-16T00:00:00,31.5,31.5,31.5,31.5,54,
2026-03-17T00:00:00,31.66,32.97,31.47,32.97,1809,
2026-03-18T00:00:00,,36.9,31.03,32.67,556,
2026-03-19T00:00:00,32.61,32.61,32.61,32.61,135,
2026-03-20T00:00:00,31.0,32.99,30.0,30.06,3575,
2026-03-23T00:00:00,,31.95,29.0,31.95,3291,
2026-03-24T00:00:00,31.95,31.95,29.5,29.89,2578,
2026-03-25T00:00:00,,31.95,29.0,30.0,815,
2026-03-27T00:00:00,29.08,31.0,27.01,28.62,18250,
2026-03-30T00:00:00,,30.99,25.25,27.75,13027,
2026-04-01T00:00:00,27.2,31.0,27.2,30.99,58,
2026-04-02T00:00:00,,33.3,29.05,30.3,1791,
2026-04-06T00:00:00,,30.15,29.22,29.37,165,
2026-04-07T00:00:00,,35.0,27.07,29.8,2230,
2026-04-08T00:00:00,32.4,32.4,30.46,32.1,2283,
2026-04-09T00:00:00,,33.9,30.0,32.01,3401,
2026-04-10T00:00:00,,33.95,31.3,31.3,282,
2026-04-13T00:00:00,,34.0,30.97,30.99,1441,
2026-04-15T00:00:00,,34.0,31.5,33.42,1866,
2026-04-16T00:00:00,31.5,34.97,31.5,32.3,2117,
2026-04-17T00:00:00,,34.0,31.1,32.2,1790,
2026-04-20T00:00:00,,34.0,31.84,32.66,1565,
2026-04-21T00:00:00,32.0,32.86,31.24,31.4,4950,
2026-04-22T00:00:00,31.4,31.48,30.0,31.15,2970,
2026-04-23T00:00:00,32.49,32.49,29.41,31.99,1302,
2026-04-24T00:00:00,,32.94,30.96,32.7,903,
2026-04-27T00:00:00,,32.7,31.5,31.5,760,
2026-04-28T00:00:00,31.5,32.6,30.0,32.0,2694,
2026-04-29T00:00:00,32.63,33.39,32.63,32.69,308,
2026-04-30T00:00:00,32.0,32.15,30.87,31.07,1145,
2026-05-04T00:00:00,,33.5,30.06,31.7,3199,
2026-05-05T00:00:00,31.85,32.5,30.6,31.7,1846,
2026-05-06T00:00:00,31.55,32.35,30.5,31.0,1654,
2026-05-07T00:00:00,,32.95,31.5,32.32,5511,
2026-05-08T00:00:00,,32.91,31.16,32.5,1688,
2026-05-11T00:00:00,,33.9,32.5,32.8,3919,
2026-05-12T00:00:00,,34.0,31.1,33.44,8083,
2026-05-13T00:00:00,,34.9,32.0,32.0,1882,
2026-05-14T00:00:00,32.45,34.9,29.0,31.19,5764,
2026-05-15T00:00:00,31.99,32.95,31.0,31.01,1746,
2026-05-18T00:00:00,,30.4,27.5,29.22,41278,
2026-05-19T00:00:00,,32.0,28.2,30.4,4709,
2026-05-20T00:00:00,,31.78,29.0,29.12,6941,
2026-05-21T00:00:00,29.5,31.49,29.12,31.19,477,
2026-05-22T00:00:00,,32.0,30.89,30.89,173,
2026-05-25T00:00:00,30.11,31.43,29.15,30.63,3038,
2026-05-26T00:00:00,30.0,30.88,29.7,30.5,3690,
2026-05-27T00:00:00,,30.35,28.01,29.26,3635,
2026-05-29T00:00:00,30.49,30.49,29.65,29.72,1961,
2026-06-01T00:00:00,,32.65,28.9,29.72,1925,
2026-06-02T00:00:00,30.5,30.5,29.01,30.2,1698,
2026-06-03T00:00:00,29.44,29.44,28.0,28.05,2116,
2026-06-04T00:00:00,29.0,29.9,28.08,29.7,2464,
2026-06-05T00:00:00,29.01,29.99,28.5,29.5,3511,
2026-06-08T00:00:00,,30.0,28.36,29.24,8534,
2026-06-09T00:00:00,28.67,28.67,28.0,28.01,4171,
2026-06-10T00:00:00,27.64,28.9,27.64,28.88,5809,
2026-06-11T00:00:00,28.99,28.99,28.0,28.48,1306,
2026-06-12T00:00:00,28.0,29.65,28.0,29.64,1413,
2026-06-15T00:00:00,,30.45,29.05,29.05,2617,
2026-06-16T00:00:00,29.93,30.9,28.35,29.13,7411,
2026-06-17T00:00:00,29.27,30.6,28.15,28.29,6686,
2026-06-18T00:00:00,,29.3,27.5,29.3,1918,
2026-06-19T00:00:00,29.3,29.99,28.35,28.55,916,
2026-06-22T00:00:00,,29.99,27.6,28.49,3285,
2026-06-23T00:00:00,30.0,30.0,27.8,29.09,1075,
2026-06-24T00:00:00,29.8,29.8,28.0,28.12,1012,
2026-06-25T00:00:00,28.12,29.25,27.6,28.04,7242,
2026-06-29T00:00:00,28.04,28.99,27.66,28.49,696,
2026-06-30T00:00:00,28.35,28.69,27.81,28.6,844,
2026-07-01T00:00:00,27.96,28.57,27.23,27.55,1352,
2026-07-02T00:00:00,27.61,28.98,27.61,28.4,1045,
2026-07-03T00:00:00,28.4,29.77,27.66,29.4,1295,
2026-07-06T00:00:00,,31.0,28.41,28.41,1809,
2026-07-07T00:00:00,28.7,29.0,27.69,27.69,2337,
2026-07-08T00:00:00,,28.0,27.33,27.33,1397,
2026-07-09T00:00:00,26.75,29.4,26.75,29.4,2592,
2026-07-10T00:00:00,,32.0,30.0,30.4,4550,
2026-07-13T00:00:00,,36.38,30.0,30.06,26577,
2026-07-14T00:00:00,30.11,31.2,30.11,30.6,1045,
2026-07-15T00:00:00,30.62,31.47,29.15,30.45,1087,
2026-07-16T00:00:00,,30.95,29.16,30.5,2163,
2026-07-17T00:00:00,30.5,30.5,29.16,30.3,2498,
2026-07-20T00:00:00,29.02,32.8,27.24,28.27,2652,
2026-07-21T00:00:00,28.98,29.0,28.31,28.51,1074,
2026-07-22T00:00:00,28.99,29.98,28.0,28.12,1864,
2026-07-23T00:00:00,28.16,29.58,28.0,29.58,169,
2026-07-24T00:00:00,,29.58,28.08,29.49,389,
2026-07-27T00:00:00,29.2,29.2,29.2,29.2,284,
2026-07-28T00:00:00,28.91,30.7,27.71,28.5,2929,
2026-07-29T00:00:00,28.1,29.99,28.1,29.05,1004,
2026-07-30T00:00:00,,30.4,27.7,29.0,4689,
2026-07-31T00:00:00,30.5,32.65,29.02,30.5,1426,
2026-08-03T00:00:00,30.5,31.99,30.47,31.99,2558,
2026-08-04T00:00:00,,32.63,29.21,31.29,1308,
2026-08-05T00:00:00,,32.97,30.2,31.49,1804,
2026-08-06T00:00:00,,32.26,29.66,30.7,359,
2026-08-07T00:00:00,30.13,30.69,29.7,29.7,1590,
2026-08-10T00:00:00,,31.38,29.5,31.0,608,
2026-08-11T00:00:00,30.7,30.7,29.27,30.67,244,
2026-08-12T00:00:00,,31.09,29.3,29.31,15956,
2026-08-13T00:00:00,,30.89,29.35,30.5,1215,
2026-08-14T00:00:00,29.9,31.9,29.9,31.0,2802,
2026-08-17T00:00:00,31.0,31.99,29.66,31.98,4906,
2026-08-18T00:00:00,,33.3,30.0,30.44,31477,
2026-08-19T00:00:00,32.45,32.45,31.5,31.5,8,
2026-08-20T00:00:00,31.5,31.54,30.2,31.12,1953,
2026-08-21T00:00:00,30.9,32.3,30.9,32.3,1200,
2026-08-24T00:00:00,,30.7,29.11,29.11,646,
