timestamp,open,high,low,close,volume,oi
2026-04-20T00:00:00,86.85,86.85,84.45,84.45,116,
2026-04-21T00:00:00,,84.05,84.05,84.05,61,
2026-04-23T00:00:00,90.85,99.0,75.05,81.2,1346,
2026-04-24T00:00:00,84.8,84.8,81.6,81.75,15,
2026-04-27T00:00:00,82.2,89.5,79.3,81.9,654,
2026-04-28T00:00:00,82.0,90.0,82.0,88.9,388,
2026-04-29T00:00:00,89.3,89.3,84.75,84.75,28,
2026-04-30T00:00:00,84.35,84.35,84.35,84.35,8,
2026-05-04T00:00:00,,98.69,82.01,85.75,731,
2026-05-05T00:00:00,86.0,87.5,85.89,87.5,510,
2026-05-06T00:00:00,73.05,90.0,73.05,88.51,1410,
2026-05-07T00:00:00,85.0,90.0,82.1,85.0,1714,
2026-05-08T00:00:00,85.0,85.0,85.0,85.0,11,
2026-05-11T00:00:00,85.0,85.0,82.0,82.0,123,
2026-05-14T00:00:00,81.0,86.0,81.0,86.0,22,
2026-05-15T00:00:00,85.0,85.0,84.45,84.45,76,
2026-05-18T00:00:00,78.0,84.0,74.69,79.16,326,
2026-05-19T00:00:00,80.0,85.0,75.11,79.45,283,
2026-05-20T00:00:00,84.0,88.85,84.0,84.94,1045,
2026-05-21T00:00:00,,101.92,90.16,101.92,20643,
2026-05-22T00:00:00,,106.9,93.06,95.26,14701,
2026-05-25T00:00:00,96.9,96.9,87.5,90.45,585,
2026-05-26T00:00:00,,88.0,82.0,86.14,2479,
2026-05-27T00:00:00,79.0,83.99,79.0,80.1,3477,
2026-05-29T00:00:00,,83.77,77.01,81.96,989,
2026-06-01T00:00:00,86.8,86.8,74.51,78.37,975,
2026-06-02T00:00:00,79.0,82.97,75.0,76.78,1108,
2026-06-03T00:00:00,77.0,81.39,74.0,75.05,,
2026-06-04T00:00:00,76.0,76.0,75.05,75.05,,
2026-06-08T00:00:00,80.5,80.5,76.79,79.7,280,
2026-06-09T00:00:00,73.0,79.0,73.0,78.0,144,
2026-06-10T00:00:00,,85.99,77.0,79.8,413,
2026-06-11T00:00:00,80.0,80.0,80.0,80.0,51,
2026-06-12T00:00:00,80.0,80.0,80.0,80.0,50,
2026-06-15T00:00:00,,85.99,82.0,82.0,100,
2026-06-16T00:00:00,82.0,82.0,82.0,82.0,50,
2026-06-17T00:00:00,86.98,86.98,76.31,80.52,636,
2026-06-18T00:00:00,81.0,81.0,81.0,81.0,126,
2026-06-19T00:00:00,82.0,85.0,81.0,85.0,265,
2026-06-22T00:00:00,,84.98,78.0,84.98,349,
2026-06-23T00:00:00,84.75,84.75,84.75,84.75,1,
2026-06-24T00:00:00,83.25,83.25,79.3,81.18,310,
2026-06-25T00:00:00,,84.0,79.16,84.0,153,
2026-06-29T00:00:00,,84.0,76.15,79.61,93,
2026-06-30T00:00:00,80.0,80.0,80.0,80.0,4,
2026-07-02T00:00:00,76.0,82.8,76.0,82.5,93,
2026-07-03T00:00:00,81.5,81.5,80.0,80.0,105,
2026-07-06T00:00:00,79.6,84.0,77.5,84.0,8,
2026-07-07T00:00:00,80.0,80.0,80.0,80.0,105,
2026-07-08T00:00:00,,83.0,78.0,78.0,173,
2026-07-09T00:00:00,80.0,80.0,80.0,80.0,99,
2026-07-13T00:00:00,80.0,80.0,80.0,80.0,2,
2026-07-14T00:00:00,80.0,80.0,80.0,80.0,3,
2026-07-16T00:00:00,75.0,79.95,75.0,76.73,79,
2026-07-17T00:00:00,80.0,84.0,80.0,81.93,1984,
2026-07-20T00:00:00,83.97,88.94,82.74,88.38,1276,
2026-07-21T00:00:00,83.0,83.0,83.0,83.0,49,
2026-07-22T00:00:00,,82.98,82.98,82.98,5,
2026-07-23T00:00:00,82.98,82.98,80.11,82.82,36,
2026-07-24T00:00:00,82.81,82.81,82.81,82.81,4,
2026-07-27T00:00:00,73.2,82.79,73.2,82.0,45,
2026-07-28T00:00:00,65.6,88.87,65.6,77.69,638,
2026-07-29T00:00:00,,83.0,75.11,76.91,426,
2026-07-30T00:00:00,77.0,92.29,77.0,92.29,8794,
2026-07-31T00:00:00,,110.74,105.0,110.74,162563,
2026-08-03T00:00:00,,132.88,101.15,132.88,160208,
2026-08-04T00:00:00,,146.16,134.85,145.88,156418,
2026-08-05T00:00:00,,160.46,147.0,160.46,40697,
2026-08-06T00:00:00,,168.48,152.44,152.44,14787,
2026-08-07T00:00:00,,144.82,144.82,144.82,990,
2026-08-10T00:00:00,,138.0,137.58,137.58,1537,
2026-08-11T00:00:00,,130.9,130.71,130.71,1075,
2026-08-12T00:00:00,,124.18,124.18,124.18,468,
2026-08-13T00:00:00,,118.0,117.98,117.98,308,
